edge,weight
0-1,434.34
0-2,4110.31
0-3,1699.8
0-4,5708.69
0-5,81.45
0-6,1940.73
0-7,118.17
0-8,890.71
0-9,954.33
0-10,87.34
0-11,4579.14
0-12,518.53
0-13,116.74
0-14,4596.2
1-2,506.15
1-3,472.92
1-4,494.4
1-5,2304.09
1-6,112.38
1-7,2212.02
1-8,425.94
1-9,4275.13
1-10,2314.65
1-11,102.0
1-12,591.63
1-13,400.37
1-14,1855.19
2-3,1616.98
2-4,411.94
2-5,549.68
2-6,1674.24
2-7,1069.36
2-8,1019.69
2-9,99.88
2-10,528.64
2-11,82.14
2-12,4106.92
2-13,86.81
2-14,4573.44
3-4,89.48
3-5,5098.97
3-6,96.62
3-7,949.61
3-8,5611.02
3-9,406.83
3-10,1923.43
3-11,91.88
3-12,82.18
3-13,590.13
3-14,439.92
4-5,118.53
4-6,1630.99
4-7,2384.97
4-8,498.2
4-9,456.91
4-10,2075.64
4-11,518.58
4-12,545.14
4-13,419.21
4-14,456.15
5-6,950.12
5-7,513.11
5-8,506.14
5-9,888.66
5-10,5001.6
5-11,5952.02
5-12,4392.56
5-13,400.61
5-14,5940.15
6-7,410.04
6-8,1162.75
6-9,2210.32
6-10,561.69
6-11,4803.08
6-12,111.54
6-13,115.25
6-14,521.02
7-8,454.77
7-9,531.35
7-10,860.25
7-11,969.32
7-12,4859.62
7-13,5842.37
7-14,517.99
8-9,2003.08
8-10,1701.84
8-11,2075.28
8-12,5345.79
8-13,1074.09
8-14,4303.33
9-10,1064.93
9-11,2315.84
9-12,469.24
9-13,494.39
9-14,488.09
10-11,105.73
10-12,5733.74
10-13,463.5
10-14,5691.43
11-12,5956.25
11-13,474.78
11-14,5493.26
12-13,105.27
12-14,409.6
13-14,1082.03
