node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,local,16,256,tier1_hospital,0.973,standard,10000
1,clinic_001,2000,tier_2,16,local,2,128,tier2_hospital,0.924,critical,10000
2,research_center_002,10000,tier_3,64,PIPEDA,8,1024,research_center,0.986,critical,20000
3,mobile_unit_003,500,tier_1,8,PIPEDA,2,32,mobile_unit,0.831,standard,5000
4,edge_device_004,50,tier_2,8,local,0,32,edge_device,0.711,critical,1000
5,hospital_005,10000,tier_1,128,PIPEDA,8,128,tier1_hospital,0.993,standard,20000
6,clinic_006,2000,tier_2,32,PIPEDA,8,256,tier2_hospital,0.925,standard,10000
7,research_center_007,10000,tier_3,128,GDPR,8,256,research_center,0.982,critical,20000
8,mobile_unit_008,1000,tier_1,8,local,2,64,mobile_unit,0.804,high,1000
9,edge_device_009,100,tier_2,2,local,1,8,edge_device,0.745,standard,1000
10,hospital_010,2000,tier_1,64,PIPEDA,8,512,tier1_hospital,0.961,high,10000
11,clinic_011,2000,tier_2,64,local,4,256,tier2_hospital,0.956,high,5000
12,research_center_012,5000,tier_3,64,HIPAA,8,256,research_center,0.987,critical,20000
13,mobile_unit_013,100,tier_1,8,HIPAA,1,32,mobile_unit,0.899,critical,5000
14,edge_device_014,100,tier_2,8,local,0,32,edge_device,0.737,standard,2000
15,hospital_015,10000,tier_1,128,local,4,256,tier1_hospital,0.962,high,50000
16,clinic_016,2000,tier_2,16,HIPAA,8,256,tier2_hospital,0.938,standard,10000
17,research_center_017,10000,tier_3,128,HIPAA,32,256,research_center,0.984,critical,100000
18,mobile_unit_018,100,tier_1,16,PIPEDA,2,16,mobile_unit,0.75,critical,2000
19,edge_device_019,500,tier_2,4,local,1,8,edge_device,0.75,high,1000
