node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,ISO27001,radiology,2001,mixed,mayo_clinic,tier1_hospital,187
1,national,FedRAMP,oncology,2019,public,johns_hopkins,tier2_hospital,3210
2,local,HIPAA_compliant,cardiology,2013,private,stanford_med,research_center,4908
3,regional,ISO27001,neurology,1988,research_grant,mass_general,mobile_unit,3522
4,local,ISO27001,pathology,2014,mixed,ucla_health,edge_device,2977
5,national,ISO27001,radiology,1984,private,mayo_clinic,tier1_hospital,178
6,local,FedRAMP,oncology,1959,private,johns_hopkins,tier2_hospital,2376
7,local,FedRAMP,cardiology,2007,mixed,stanford_med,research_center,483
8,international,SOC2,neurology,1983,research_grant,mass_general,mobile_unit,1190
9,regional,ISO27001,pathology,1998,mixed,ucla_health,edge_device,464
10,local,FedRAMP,radiology,1988,private,mayo_clinic,tier1_hospital,1503
11,regional,FedRAMP,oncology,2005,private,johns_hopkins,tier2_hospital,4830
12,international,HIPAA_compliant,cardiology,1967,public,stanford_med,research_center,1713
13,regional,ISO27001,neurology,2002,public,mass_general,mobile_unit,1070
14,local,HIPAA_compliant,pathology,1994,public,ucla_health,edge_device,4259
15,regional,FedRAMP,radiology,2012,public,mayo_clinic,tier1_hospital,2409
16,regional,FedRAMP,oncology,1975,private,johns_hopkins,tier2_hospital,2905
17,national,HIPAA_compliant,cardiology,1965,private,stanford_med,research_center,485
18,international,FedRAMP,neurology,1973,private,mass_general,mobile_unit,3101
19,national,FedRAMP,pathology,2012,public,ucla_health,edge_device,741
