edge,weight
0-1,4613.97
0-2,426.24
0-3,92.18
0-4,99.21
0-5,2374.29
0-6,855.8
0-7,1154.45
0-8,4917.9
0-9,401.04
0-10,2234.45
0-11,900.68
0-12,2340.53
0-13,115.76
0-14,450.08
1-2,1196.47
1-3,1124.29
1-4,1017.65
1-5,1863.29
1-6,1024.03
1-7,867.34
1-8,800.35
1-9,4108.52
1-10,491.35
1-11,974.37
1-12,1783.45
1-13,2362.86
1-14,102.19
2-3,5309.22
2-4,115.6
2-5,1182.63
2-6,496.45
2-7,4694.09
2-8,594.23
2-9,582.71
2-10,1051.69
2-11,415.95
2-12,572.74
2-13,119.98
2-14,597.95
3-4,1126.2
3-5,566.39
3-6,1127.73
3-7,922.14
3-8,107.58
3-9,1002.52
3-10,4540.9
3-11,4859.82
3-12,424.79
3-13,2286.17
3-14,113.88
4-5,895.81
4-6,92.48
4-7,596.87
4-8,105.76
4-9,95.24
4-10,2154.99
4-11,569.97
4-12,2349.44
4-13,1676.14
4-14,419.79
5-6,5552.09
5-7,5850.12
5-8,2090.65
5-9,1049.09
5-10,1893.93
5-11,2045.13
5-12,1047.71
5-13,1108.02
5-14,537.58
6-7,1156.95
6-8,425.4
6-9,109.74
6-10,437.49
6-11,995.95
6-12,1008.6
6-13,99.94
6-14,2215.18
7-8,895.19
7-9,876.02
7-10,82.09
7-11,1971.91
7-12,118.17
7-13,2351.61
7-14,557.23
8-9,544.23
8-10,1030.59
8-11,525.96
8-12,941.78
8-13,1108.19
8-14,5763.9
9-10,1073.09
9-11,1939.75
9-12,4754.52
9-13,1040.12
9-14,1161.75
10-11,955.71
10-12,912.79
10-13,895.12
10-14,548.88
11-12,5569.27
11-13,2341.56
11-14,2173.25
12-13,500.45
12-14,460.28
13-14,80.19
