edge,weight
0-1,88.59
0-2,5783.66
0-3,1894.13
0-4,990.7
0-5,1184.96
0-6,447.74
0-7,554.07
0-8,4510.76
0-9,1976.13
1-2,1135.29
1-3,1106.26
1-4,1881.72
1-5,1095.52
1-6,5469.81
1-7,908.86
1-8,84.17
1-9,873.24
2-3,82.07
2-4,447.86
2-5,2215.57
2-6,425.94
2-7,1196.66
2-8,813.62
2-9,475.69
3-4,4434.3
3-5,2062.32
3-6,918.74
3-7,4157.33
3-8,872.68
3-9,2133.22
4-5,930.9
4-6,5930.4
4-7,4909.99
4-8,584.3
4-9,4132.28
5-6,107.43
5-7,521.32
5-8,1740.35
5-9,555.06
6-7,1678.5
6-8,2188.13
6-9,4545.18
7-8,1168.23
7-9,1171.89
8-9,879.58
