round_num,node_0,node_1,node_2,node_3,node_4
1,3.3912289142608643,3.40124249458313,3.392601490020752,3.3943240642547607,3.3957014083862305
2,3.384531259536743,3.3977725505828857,3.3834214210510254,3.3898298740386963,3.3943843841552734
3,3.3845534324645996,3.384716033935547,3.384744882583618,3.395169258117676,3.3731162548065186
4,3.380314350128174,3.3808913230895996,3.3849425315856934,3.381667137145996,3.377126932144165
5,3.367238998413086,3.4143967628479004,3.3881916999816895,3.3774254322052,3.3724920749664307
6,3.3953917026519775,3.3829116821289062,3.3826003074645996,3.373749017715454,3.3792271614074707
7,3.391301155090332,3.4123878479003906,3.3873376846313477,3.3827717304229736,3.379551410675049
8,3.383849620819092,3.396319627761841,3.3842310905456543,3.387280225753784,3.377794027328491
9,3.3997793197631836,3.386662244796753,3.3748440742492676,3.4003641605377197,3.382699489593506
10,3.387195110321045,3.363189458847046,3.3782541751861572,3.406250476837158,3.397970676422119
