edge,weight
0-1,1791.39
0-2,4414.42
0-3,1152.73
0-4,4332.1
0-5,1040.92
0-6,2375.66
0-7,1812.76
0-8,598.2
0-9,909.91
1-2,5892.84
1-3,5513.25
1-4,815.52
1-5,4584.4
1-6,2140.63
1-7,465.0
1-8,5245.66
1-9,1019.02
2-3,535.64
2-4,2248.49
2-5,1197.8
2-6,1197.69
2-7,4605.31
2-8,1066.17
2-9,5153.27
3-4,4186.77
3-5,5086.65
3-6,423.81
3-7,896.99
3-8,5604.99
3-9,85.63
4-5,4509.87
4-6,93.18
4-7,441.25
4-8,100.46
4-9,2042.36
5-6,106.23
5-7,907.77
5-8,499.22
5-9,101.32
6-7,115.11
6-8,2298.02
6-9,112.44
7-8,489.88
7-9,970.91
8-9,401.71
