activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749394415.7724683,1
aggregation,,True,,,1,GossipAvg,1749394426.50121,
aggregation,,False,,,1,GossipAvg,1749394426.5012295,
aggregation,,False,,,1,GossipAvg,1749394426.5012424,
aggregation,,False,,,1,GossipAvg,1749394426.5012543,
aggregation,,False,,,1,GossipAvg,1749394426.5012717,
aggregation,,False,,,1,GossipAvg,1749394426.501283,
aggregation,,False,,,1,GossipAvg,1749394426.5012946,
aggregation,,False,,,1,GossipAvg,1749394426.5013063,
aggregation,,False,,,1,GossipAvg,1749394426.5013185,
aggregation,,False,,,1,GossipAvg,1749394426.5013323,
model_update,,,,5.231276008726444,1,,1749394427.3674605,
local_training,,,{},,2,,1749394427.7051384,1
aggregation,,True,,,2,GossipAvg,1749394429.390941,
aggregation,,False,,,2,GossipAvg,1749394429.3909578,
aggregation,,False,,,2,GossipAvg,1749394429.3909695,
aggregation,,False,,,2,GossipAvg,1749394429.3909802,
aggregation,,False,,,2,GossipAvg,1749394429.3910491,
aggregation,,False,,,2,GossipAvg,1749394429.39106,
aggregation,,False,,,2,GossipAvg,1749394429.3910706,
aggregation,,False,,,2,GossipAvg,1749394429.3910964,
aggregation,,False,,,2,GossipAvg,1749394429.3911078,
aggregation,,False,,,2,GossipAvg,1749394429.3911176,
model_update,,,,5.37028666127851,2,,1749394430.19896,
local_training,,,{},,3,,1749394430.5240958,1
aggregation,,True,,,3,GossipAvg,1749394432.302383,
aggregation,,False,,,3,GossipAvg,1749394432.3023996,
aggregation,,False,,,3,GossipAvg,1749394432.302412,
aggregation,,False,,,3,GossipAvg,1749394432.3024228,
aggregation,,False,,,3,GossipAvg,1749394432.3024354,
aggregation,,False,,,3,GossipAvg,1749394432.3024983,
aggregation,,False,,,3,GossipAvg,1749394432.3025093,
aggregation,,False,,,3,GossipAvg,1749394432.302521,
aggregation,,False,,,3,GossipAvg,1749394432.3025348,
aggregation,,False,,,3,GossipAvg,1749394432.3025448,
model_update,,,,5.36463137089957,3,,1749394433.1067858,
