node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,local,HIPAA_compliant,radiology,1963,public,mayo_clinic,tier1_hospital,4495
1,regional,HIPAA_compliant,oncology,1963,mixed,johns_hopkins,tier2_hospital,3600
2,national,HIPAA_compliant,cardiology,1955,public,stanford_med,research_center,497
3,local,FedRAMP,neurology,1988,public,mass_general,mobile_unit,2072
4,local,SOC2,pathology,1991,research_grant,ucla_health,edge_device,4508
5,local,SOC2,radiology,1992,private,mayo_clinic,tier1_hospital,4563
6,local,FedRAMP,oncology,1988,research_grant,johns_hopkins,tier2_hospital,850
7,national,SOC2,cardiology,1967,mixed,stanford_med,research_center,4541
8,international,FedRAMP,neurology,2005,public,mass_general,mobile_unit,649
9,national,FedRAMP,pathology,1991,public,ucla_health,edge_device,437
