node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,GDPR,8,128,tier1_hospital,0.977,standard,20000
1,clinic_001,2000,tier_2,32,PIPEDA,8,64,tier2_hospital,0.973,standard,20000
2,research_center_002,20000,tier_3,128,local,8,1024,research_center,0.985,standard,20000
3,mobile_unit_003,500,tier_1,16,GDPR,2,32,mobile_unit,0.806,critical,2000
4,edge_device_004,500,tier_2,2,local,1,32,edge_device,0.744,standard,2000
5,hospital_005,10000,tier_1,32,GDPR,8,256,tier1_hospital,0.962,standard,20000
6,clinic_006,1000,tier_2,64,GDPR,4,256,tier2_hospital,0.923,standard,20000
7,research_center_007,10000,tier_3,128,GDPR,16,1024,research_center,0.993,high,100000
8,mobile_unit_008,100,tier_1,8,local,2,64,mobile_unit,0.802,critical,2000
9,edge_device_009,100,tier_2,4,HIPAA,1,32,edge_device,0.878,high,500
