node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,local,ISO27001,radiology,2018,mixed,mayo_clinic,tier1_hospital,2907
1,regional,ISO27001,oncology,1969,mixed,johns_hopkins,tier2_hospital,2413
2,regional,HIPAA_compliant,cardiology,2018,private,stanford_med,research_center,4265
3,international,SOC2,neurology,1961,private,mass_general,mobile_unit,3707
4,international,HIPAA_compliant,pathology,2008,public,ucla_health,edge_device,3678
5,national,FedRAMP,radiology,1994,public,mayo_clinic,tier1_hospital,4172
6,national,FedRAMP,oncology,2008,mixed,johns_hopkins,tier2_hospital,1218
7,national,HIPAA_compliant,cardiology,2000,mixed,stanford_med,research_center,4971
8,national,FedRAMP,neurology,1970,private,mass_general,mobile_unit,4716
9,local,SOC2,pathology,1991,mixed,ucla_health,edge_device,2140
10,regional,ISO27001,radiology,1998,private,mayo_clinic,tier1_hospital,3502
11,national,SOC2,oncology,2019,research_grant,johns_hopkins,tier2_hospital,1230
12,local,ISO27001,cardiology,2006,research_grant,stanford_med,research_center,3331
13,international,FedRAMP,neurology,2016,research_grant,mass_general,mobile_unit,4075
14,international,ISO27001,pathology,2009,private,ucla_health,edge_device,4728
