edge,weight
0-1,894.8
0-2,4631.99
0-3,553.18
0-4,865.61
0-5,1080.98
0-6,569.79
0-7,118.84
0-8,1855.69
0-9,508.55
0-10,1704.19
0-11,529.95
0-12,1670.37
0-13,119.44
0-14,4000.69
1-2,941.83
1-3,1649.62
1-4,919.62
1-5,1118.96
1-6,2075.31
1-7,1651.16
1-8,2390.94
1-9,1012.79
1-10,110.36
1-11,4098.24
1-12,100.74
1-13,5393.5
1-14,575.55
2-3,472.31
2-4,2313.69
2-5,5278.4
2-6,5560.48
2-7,597.72
2-8,4571.1
2-9,1046.02
2-10,2158.77
2-11,85.91
2-12,1647.44
2-13,583.6
2-14,97.09
3-4,815.93
3-5,5799.62
3-6,412.62
3-7,906.7
3-8,1749.24
3-9,531.62
3-10,401.14
3-11,970.17
3-12,104.62
3-13,106.57
3-14,86.28
4-5,411.96
4-6,1605.15
4-7,103.62
4-8,4815.9
4-9,2104.19
4-10,101.42
4-11,1611.43
4-12,980.03
4-13,2016.66
4-14,101.94
5-6,108.39
5-7,876.27
5-8,1024.79
5-9,544.46
5-10,101.32
5-11,1969.72
5-12,86.38
5-13,83.6
5-14,556.64
6-7,4623.75
6-8,1834.38
6-9,4431.27
6-10,83.45
6-11,2287.71
6-12,564.94
6-13,5919.72
6-14,5191.3
7-8,1709.4
7-9,1957.39
7-10,4258.72
7-11,2153.76
7-12,4652.26
7-13,2322.13
7-14,1951.87
8-9,435.58
8-10,97.14
8-11,1675.77
8-12,1780.14
8-13,96.59
8-14,953.0
9-10,2346.46
9-11,5765.66
9-12,88.09
9-13,588.16
9-14,2001.1
10-11,109.31
10-12,106.67
10-13,1028.82
10-14,4198.36
11-12,518.33
11-13,1032.12
11-14,448.65
12-13,994.22
12-14,106.99
13-14,2045.31
