edge,weight
0-1,520.45
0-2,5262.5
0-3,931.36
0-4,2264.77
0-5,434.7
0-6,875.32
0-7,1756.91
0-8,2029.59
0-9,1160.85
0-10,1971.56
0-11,91.75
0-12,4172.83
0-13,547.87
0-14,418.71
1-2,113.62
1-3,2001.72
1-4,4177.04
1-5,102.78
1-6,4776.42
1-7,1028.44
1-8,111.51
1-9,855.53
1-10,2284.12
1-11,4019.68
1-12,484.34
1-13,1177.56
1-14,2061.17
2-3,107.76
2-4,4455.61
2-5,1174.52
2-6,802.49
2-7,467.25
2-8,2326.23
2-9,1625.62
2-10,2194.62
2-11,2390.06
2-12,117.74
2-13,4503.4
2-14,114.34
3-4,1694.37
3-5,1021.39
3-6,4977.71
3-7,1026.67
3-8,5258.0
3-9,4920.54
3-10,118.37
3-11,5478.63
3-12,118.81
3-13,4885.99
3-14,1113.99
4-5,433.89
4-6,1140.16
4-7,93.87
4-8,560.3
4-9,110.78
4-10,846.08
4-11,464.53
4-12,939.36
4-13,102.9
4-14,473.52
5-6,583.7
5-7,1157.59
5-8,4096.5
5-9,81.76
5-10,1108.93
5-11,101.88
5-12,119.32
5-13,1905.8
5-14,843.47
6-7,4318.23
6-8,108.33
6-9,4394.14
6-10,2175.16
6-11,411.72
6-12,5704.42
6-13,963.24
6-14,103.64
7-8,5409.87
7-9,4986.91
7-10,5878.59
7-11,1136.02
7-12,2143.29
7-13,483.7
7-14,110.68
8-9,101.42
8-10,84.25
8-11,93.92
8-12,88.24
8-13,1955.66
8-14,560.48
9-10,1673.61
9-11,103.71
9-12,1144.53
9-13,809.64
9-14,4367.67
10-11,85.05
10-12,577.95
10-13,439.18
10-14,2198.24
11-12,1632.46
11-13,1100.26
11-14,964.96
12-13,106.64
12-14,2211.26
13-14,421.31
