edge,weight
0-1,1136.21
0-2,5870.97
0-3,2330.6
0-4,407.06
0-5,573.51
0-6,111.07
0-7,914.16
0-8,424.41
0-9,111.13
1-2,1193.24
1-3,81.37
1-4,953.3
1-5,552.31
1-6,2333.6
1-7,5182.4
1-8,533.74
1-9,4941.73
2-3,1935.23
2-4,5756.62
2-5,2355.74
2-6,1126.41
2-7,5025.37
2-8,4236.04
2-9,2296.94
3-4,84.73
3-5,5167.77
3-6,403.39
3-7,1954.27
3-8,5073.86
3-9,1028.38
4-5,449.4
4-6,1157.64
4-7,81.51
4-8,473.17
4-9,82.22
5-6,2324.89
5-7,1176.58
5-8,1082.79
5-9,424.26
6-7,539.68
6-8,5937.21
6-9,2366.06
7-8,4577.69
7-9,1983.35
8-9,407.72
