edge,weight
0-1,2366.96
0-2,5762.61
0-3,4559.87
0-4,4932.19
0-5,522.73
0-6,82.09
0-7,1957.41
0-8,1134.4
0-9,92.35
1-2,97.7
1-3,1061.74
1-4,1724.9
1-5,901.49
1-6,4526.54
1-7,507.23
1-8,584.58
1-9,1770.49
2-3,4726.37
2-4,101.8
2-5,996.75
2-6,2076.9
2-7,542.33
2-8,1134.42
2-9,912.08
3-4,551.91
3-5,1622.43
3-6,437.96
3-7,5194.86
3-8,104.44
3-9,5582.63
4-5,5039.8
4-6,470.84
4-7,971.95
4-8,443.16
4-9,1084.41
5-6,1155.9
5-7,520.72
5-8,508.09
5-9,2354.2
6-7,5301.61
6-8,508.25
6-9,81.3
7-8,90.58
7-9,1712.77
8-9,495.27
