node_id,latitude,longitude
0,43.997014,-92.494021
1,39.275599,-76.627727
2,37.398515,-122.156743
3,42.386217,-71.088038
4,34.099506,-118.213518
5,51.527635,-0.122514
6,48.839036,2.389675
7,35.696773,139.619485
8,1.357152,103.869509
9,-33.900014,151.248916
10,44.016975,-92.468783
11,39.271914,-76.636071
12,37.475404,-122.189178
13,42.372735,-71.057283
14,34.085798,-118.269755
15,51.529906,-0.140472
16,48.884267,2.385718
17,35.656626,139.637706
18,1.312336,103.792232
19,-33.8825,151.249804
