round_num,node_0,node_1,node_2,node_3,node_4
1,3.267688512802124,3.267688512802124,3.267688512802124,3.267688512802124,3.326575517654419
2,3.271038055419922,3.271038055419922,3.271038055419922,3.3349573612213135,3.271038055419922
3,3.2759506702423096,3.2759506702423096,3.2759506702423096,3.2985944747924805,3.2759506702423096
4,3.277724266052246,3.277724266052246,3.2857508659362793,3.277724266052246,3.277724266052246
5,3.274510383605957,3.274510383605957,3.287482261657715,3.274510383605957,3.274510383605957
6,3.296869993209839,3.274834156036377,3.274834156036377,3.274834156036377,3.274834156036377
7,3.27099347114563,3.27099347114563,3.27099347114563,3.2945151329040527,3.27099347114563
8,3.2728233337402344,3.2728233337402344,3.2728233337402344,3.2967824935913086,3.2728233337402344
9,3.275050640106201,3.275050640106201,3.275050640106201,3.275050640106201,3.2703466415405273
10,3.27140474319458,3.27140474319458,3.2921032905578613,3.27140474319458,3.27140474319458
