edge,weight
0-1,5859.69
0-2,1180.46
0-3,2238.03
0-4,4999.26
0-5,443.34
0-6,4282.23
0-7,551.89
0-8,866.32
0-9,935.71
0-10,82.21
0-11,4885.1
0-12,554.35
0-13,83.68
0-14,112.42
1-2,5580.6
1-3,406.27
1-4,110.78
1-5,5008.59
1-6,81.43
1-7,1102.96
1-8,113.58
1-9,112.56
1-10,1159.65
1-11,1771.05
1-12,579.56
1-13,1117.84
1-14,5730.73
2-3,108.03
2-4,2274.29
2-5,97.88
2-6,5779.48
2-7,90.61
2-8,1078.59
2-9,873.7
2-10,96.15
2-11,572.88
2-12,1056.17
2-13,1020.5
2-14,408.75
3-4,530.47
3-5,4417.19
3-6,529.83
3-7,426.62
3-8,852.77
3-9,4117.6
3-10,1733.36
3-11,97.72
3-12,112.42
3-13,1023.37
3-14,1039.04
4-5,4071.69
4-6,1133.45
4-7,2268.24
4-8,1733.23
4-9,1155.85
4-10,1151.68
4-11,1190.73
4-12,1609.92
4-13,99.98
4-14,1169.56
5-6,4899.57
5-7,1647.73
5-8,1991.81
5-9,105.62
5-10,1612.43
5-11,512.27
5-12,413.84
5-13,1652.44
5-14,2233.88
6-7,483.5
6-8,1787.05
6-9,416.98
6-10,5141.9
6-11,82.89
6-12,572.65
6-13,587.34
6-14,107.01
7-8,1864.53
7-9,4421.6
7-10,448.71
7-11,1815.84
7-12,1031.89
7-13,1929.49
7-14,566.37
8-9,114.85
8-10,88.39
8-11,102.75
8-12,4001.64
8-13,4031.78
8-14,1923.9
9-10,115.71
9-11,4486.96
9-12,1190.97
9-13,2137.71
9-14,89.76
10-11,113.97
10-12,595.7
10-13,119.67
10-14,103.22
11-12,5121.34
11-13,4979.97
11-14,867.08
12-13,2168.51
12-14,1054.23
13-14,581.81
