round_num,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19
1,3.1556203365325928,3.154491662979126,3.1565771102905273,3.1549293994903564,3.1549293994903564,3.155622720718384,3.1549293994903564,3.19600510597229,3.1549293994903564,3.1549293994903564,3.155614137649536,3.1548502445220947,3.3843843936920166,3.1549293994903564,3.1558315753936768,3.1549293994903564,3.1660406589508057,3.1567931175231934,3.214122772216797,3.1549293994903564
2,3.1619668006896973,3.2203545570373535,3.1632802486419678,3.3051605224609375,3.1825029850006104,3.1668941974639893,3.34653639793396,3.322010040283203,3.167081356048584,3.2035343647003174,3.1687862873077393,3.169891834259033,3.4421753883361816,3.263477087020874,3.1645963191986084,3.167494058609009,3.1658833026885986,3.169241189956665,3.4083728790283203,3.1654934883117676
3,3.353745460510254,3.207888126373291,3.299196720123291,3.2111635208129883,3.2901785373687744,3.210996389389038,3.3944880962371826,3.377610206604004,3.3696885108947754,3.2831902503967285,3.281388998031616,3.215045690536499,3.5261149406433105,3.2099781036376953,3.209136486053467,3.212333917617798,3.3019015789031982,3.2166712284088135,3.4719114303588867,3.226402997970581
4,3.444918394088745,3.305549144744873,3.380014657974243,3.4499704837799072,3.273263931274414,3.322044610977173,3.2787301540374756,3.436988592147827,3.272716760635376,3.372690439224243,3.2705068588256836,3.3683183193206787,3.499448537826538,3.268369197845459,3.2720673084259033,3.289637327194214,3.406903028488159,3.278419256210327,3.2808079719543457,3.308824062347412
5,3.534419536590576,3.4377963542938232,3.312851905822754,3.311807632446289,3.407935380935669,3.4288852214813232,3.495548725128174,3.3141465187072754,3.501223087310791,3.3135526180267334,3.3127024173736572,3.42238712310791,3.313847780227661,3.5124149322509766,3.3067071437835693,3.339510679244995,3.3099915981292725,3.348159074783325,3.564096450805664,3.3434953689575195
6,3.606769323348999,3.519073963165283,3.369750738143921,3.5648410320281982,3.3757944107055664,3.500241756439209,3.375699520111084,3.5695128440856934,3.58886456489563,3.3694775104522705,3.488769054412842,3.3745272159576416,3.5599639415740967,3.5612502098083496,3.3738348484039307,3.3778395652770996,3.526777982711792,3.4411418437957764,3.383965492248535,3.4072611331939697
7,3.449277400970459,3.5807688236236572,3.4423437118530273,3.6322362422943115,3.5858685970306396,3.544708490371704,3.631401538848877,3.6740105152130127,3.4447884559631348,3.438786745071411,3.58297061920166,3.5695271492004395,3.4431185722351074,3.647822618484497,3.4335477352142334,3.437061071395874,3.5711183547973633,3.505220413208008,3.4368534088134766,3.4878780841827393
8,3.508077383041382,3.662433385848999,3.5111260414123535,3.6843466758728027,3.655369997024536,3.5061089992523193,3.5071983337402344,3.747969150543213,3.727679967880249,3.600433826446533,3.619257926940918,3.645691156387329,3.7152252197265625,3.5000922679901123,3.5543105602264404,3.4976372718811035,3.499437093734741,3.5649261474609375,3.7156996726989746,3.501920461654663
9,3.580921173095703,3.7502198219299316,3.696937084197998,3.5873565673828125,3.7326905727386475,3.711094856262207,3.5871260166168213,3.893146276473999,3.8058316707611084,3.581238031387329,3.7081077098846436,3.580888271331787,3.778488874435425,3.782803773880005,3.578038215637207,3.653844118118286,3.7026000022888184,3.661252737045288,3.5884454250335693,3.5822136402130127
10,3.853698492050171,3.6661574840545654,3.6642088890075684,3.664041519165039,3.827542543411255,3.8041396141052246,3.6673214435577393,3.9186654090881348,3.8950464725494385,3.6566998958587646,3.765235424041748,3.781255006790161,3.8642807006835938,3.6561501026153564,3.716463565826416,3.732677698135376,3.825906991958618,3.7150373458862305,3.655298948287964,3.6601998805999756
