edge,weight
0-1,98.81
0-2,812.42
0-3,103.37
0-4,5517.59
0-5,1719.11
0-6,118.58
0-7,539.46
0-8,1043.58
0-9,4354.57
0-10,85.25
0-11,814.07
0-12,4739.88
0-13,1102.6
0-14,5246.93
0-15,1823.51
0-16,2065.52
0-17,1991.56
0-18,589.5
0-19,1003.65
1-2,90.94
1-3,108.02
1-4,2073.55
1-5,808.62
1-6,942.81
1-7,82.4
1-8,2364.3
1-9,1141.49
1-10,954.96
1-11,2004.62
1-12,515.6
1-13,1176.52
1-14,878.33
1-15,4303.05
1-16,1110.45
1-17,4352.29
1-18,2289.21
1-19,5233.81
2-3,2349.5
2-4,968.6
2-5,445.27
2-6,1705.4
2-7,1659.62
2-8,967.88
2-9,416.92
2-10,517.31
2-11,118.6
2-12,5578.06
2-13,99.71
2-14,435.29
2-15,559.9
2-16,5102.36
2-17,111.23
2-18,1929.82
2-19,402.37
3-4,117.5
3-5,86.65
3-6,1028.15
3-7,2300.46
3-8,1168.15
3-9,4990.9
3-10,439.91
3-11,110.48
3-12,1074.48
3-13,1110.15
3-14,4718.81
3-15,91.3
3-16,5563.31
3-17,113.09
3-18,457.59
3-19,461.17
4-5,2109.21
4-6,507.26
4-7,92.03
4-8,105.08
4-9,4239.12
4-10,5520.42
4-11,4687.39
4-12,835.91
4-13,83.48
4-14,427.36
4-15,86.47
4-16,106.54
4-17,117.71
4-18,4964.15
4-19,2151.48
5-6,1082.24
5-7,468.63
5-8,4847.92
5-9,1637.27
5-10,5533.84
5-11,109.37
5-12,100.43
5-13,469.82
5-14,5963.02
5-15,5241.63
5-16,4758.05
5-17,91.63
5-18,4359.62
5-19,5231.99
6-7,109.3
6-8,4423.53
6-9,473.37
6-10,543.89
6-11,2368.76
6-12,2000.79
6-13,4189.99
6-14,5288.08
6-15,405.42
6-16,2049.14
6-17,831.96
6-18,1635.8
6-19,5288.05
7-8,4269.98
7-9,4181.46
7-10,1086.28
7-11,1703.98
7-12,1872.93
7-13,100.05
7-14,89.79
7-15,906.26
7-16,5107.98
7-17,530.28
7-18,1764.74
7-19,437.32
8-9,81.26
8-10,1741.83
8-11,4641.91
8-12,583.82
8-13,4087.51
8-14,521.92
8-15,2061.58
8-16,5110.02
8-17,94.34
8-18,1161.92
8-19,919.92
9-10,112.89
9-11,920.17
9-12,2220.19
9-13,1859.17
9-14,85.25
9-15,598.31
9-16,112.45
9-17,1963.32
9-18,115.98
9-19,488.27
10-11,912.73
10-12,5818.72
10-13,1152.92
10-14,4283.07
10-15,85.52
10-16,447.48
10-17,113.9
10-18,109.15
10-19,417.63
11-12,5859.15
11-13,2076.8
11-14,2126.8
11-15,2005.12
11-16,97.22
11-17,855.99
11-18,117.28
11-19,456.29
12-13,1088.9
12-14,4018.74
12-15,483.11
12-16,467.75
12-17,1180.94
12-18,2112.04
12-19,1026.12
13-14,504.26
13-15,103.84
13-16,4611.07
13-17,1800.55
13-18,1087.2
13-19,914.34
14-15,475.33
14-16,4557.73
14-17,1949.08
14-18,1110.16
14-19,1782.25
15-16,1829.21
15-17,91.28
15-18,431.91
15-19,4032.63
16-17,1902.54
16-18,88.83
16-19,94.97
17-18,82.93
17-19,2325.8
18-19,4589.29
