edge,weight
0-1,402.39
0-2,536.7
0-3,534.72
0-4,2049.24
0-5,5170.62
0-6,1190.58
0-7,960.47
0-8,908.52
0-9,4241.74
1-2,1918.05
1-3,5651.62
1-4,104.03
1-5,1668.78
1-6,985.86
1-7,4684.27
1-8,532.41
1-9,993.65
2-3,5718.24
2-4,5476.9
2-5,415.4
2-6,1172.8
2-7,5430.81
2-8,5238.28
2-9,915.93
3-4,400.57
3-5,460.34
3-6,115.89
3-7,4976.15
3-8,456.4
3-9,594.79
4-5,588.96
4-6,2016.81
4-7,555.97
4-8,1799.78
4-9,2076.3
5-6,5981.86
5-7,2167.88
5-8,901.7
5-9,94.88
6-7,2251.84
6-8,2210.94
6-9,2339.71
7-8,5298.55
7-9,997.2
8-9,527.03
