node_id,latitude,longitude
0,44.02452,-92.438149
1,39.321864,-76.583277
2,37.406522,-122.112954
3,42.392201,-71.096342
4,34.095505,-118.283455
5,51.544859,-0.159062
6,48.861354,2.342326
7,35.706303,139.618848
8,1.336814,103.804997
9,-33.846291,151.235919
10,44.027994,-92.440117
11,39.329239,-76.591932
12,37.4749,-122.189974
13,42.339314,-71.045456
14,34.083635,-118.2936
15,51.48158,-0.155805
16,48.881718,2.358069
17,35.715633,139.666633
18,1.398507,103.79734
19,-33.83955,151.188108
