node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,local,8,256,tier1_hospital,0.954,critical,50000
1,clinic_001,5000,tier_2,32,PIPEDA,4,128,tier2_hospital,0.945,critical,20000
2,research_center_002,20000,tier_3,128,local,8,512,research_center,0.983,high,50000
3,mobile_unit_003,500,tier_1,16,PIPEDA,2,16,mobile_unit,0.793,standard,5000
4,edge_device_004,100,tier_2,2,GDPR,1,8,edge_device,0.897,critical,500
5,hospital_005,10000,tier_1,128,PIPEDA,8,128,tier1_hospital,0.965,critical,20000
6,clinic_006,1000,tier_2,64,HIPAA,2,128,tier2_hospital,0.92,standard,5000
7,research_center_007,10000,tier_3,128,GDPR,32,1024,research_center,1.0,standard,50000
8,mobile_unit_008,100,tier_1,8,GDPR,2,64,mobile_unit,0.789,standard,2000
9,edge_device_009,500,tier_2,8,GDPR,0,8,edge_device,0.703,high,1000
