node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,PIPEDA,16,128,tier1_hospital,0.999,high,10000
1,clinic_001,5000,tier_2,64,GDPR,2,128,tier2_hospital,0.927,standard,20000
2,research_center_002,10000,tier_3,256,local,8,256,research_center,0.988,standard,20000
3,mobile_unit_003,500,tier_1,16,HIPAA,2,32,mobile_unit,0.834,high,5000
4,edge_device_004,500,tier_2,4,GDPR,1,16,edge_device,0.79,high,500
5,hospital_005,10000,tier_1,64,local,16,512,tier1_hospital,0.952,standard,20000
6,clinic_006,5000,tier_2,16,GDPR,2,256,tier2_hospital,0.936,standard,5000
7,research_center_007,20000,tier_3,128,PIPEDA,32,1024,research_center,0.983,high,50000
8,mobile_unit_008,1000,tier_1,4,GDPR,1,64,mobile_unit,0.832,critical,1000
9,edge_device_009,500,tier_2,4,HIPAA,0,16,edge_device,0.755,high,1000
10,hospital_010,10000,tier_1,128,GDPR,4,256,tier1_hospital,0.983,critical,50000
11,clinic_011,5000,tier_2,64,local,8,64,tier2_hospital,0.908,high,10000
12,research_center_012,20000,tier_3,128,local,8,1024,research_center,0.99,standard,50000
13,mobile_unit_013,100,tier_1,16,PIPEDA,1,64,mobile_unit,0.84,high,5000
14,edge_device_014,500,tier_2,2,GDPR,1,32,edge_device,0.818,critical,1000
15,hospital_015,2000,tier_1,64,HIPAA,4,256,tier1_hospital,0.987,critical,50000
16,clinic_016,2000,tier_2,16,local,4,64,tier2_hospital,0.926,standard,20000
17,research_center_017,5000,tier_3,128,local,8,256,research_center,0.994,critical,100000
18,mobile_unit_018,100,tier_1,4,HIPAA,2,64,mobile_unit,0.756,standard,5000
19,edge_device_019,500,tier_2,8,local,0,16,edge_device,0.712,standard,2000
20,hospital_020,10000,tier_1,32,HIPAA,16,512,tier1_hospital,0.988,high,50000
21,clinic_021,5000,tier_2,16,local,2,128,tier2_hospital,0.968,standard,10000
22,research_center_022,5000,tier_3,256,local,8,512,research_center,0.997,high,100000
23,mobile_unit_023,1000,tier_1,8,HIPAA,1,32,mobile_unit,0.885,critical,5000
24,edge_device_024,100,tier_2,8,GDPR,1,32,edge_device,0.704,high,500
