node_id,latitude,longitude
0,43.994411,-92.482031
1,39.336571,-76.593223
2,37.435945,-122.129922
3,42.317303,-71.050989
4,34.081258,-118.261612
5,51.493647,-0.111946
6,48.867845,2.334589
7,35.722677,139.655291
8,1.317645,103.856295
9,-33.912177,151.258304
10,43.996812,-92.48647
11,39.331928,-76.567766
12,37.483801,-122.141082
13,42.338442,-71.010977
14,34.031179,-118.224995
15,51.55604,-0.085165
16,48.842161,2.310224
17,35.663031,139.600423
18,1.314468,103.85414
19,-33.912777,151.204785
