node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,PIPEDA,4,512,tier1_hospital,0.961,critical,20000
1,clinic_001,5000,tier_2,32,GDPR,4,64,tier2_hospital,0.972,high,20000
2,research_center_002,5000,tier_3,256,local,16,256,research_center,0.986,critical,50000
3,mobile_unit_003,500,tier_1,4,PIPEDA,2,16,mobile_unit,0.814,standard,5000
4,edge_device_004,50,tier_2,8,GDPR,1,32,edge_device,0.736,standard,500
5,hospital_005,5000,tier_1,64,PIPEDA,8,128,tier1_hospital,0.969,standard,20000
6,clinic_006,1000,tier_2,32,GDPR,4,64,tier2_hospital,0.936,critical,20000
7,research_center_007,5000,tier_3,64,local,8,512,research_center,0.986,standard,20000
8,mobile_unit_008,500,tier_1,8,GDPR,1,16,mobile_unit,0.877,standard,2000
9,edge_device_009,500,tier_2,8,PIPEDA,1,32,edge_device,0.782,high,2000
10,hospital_010,5000,tier_1,128,GDPR,8,512,tier1_hospital,0.964,standard,20000
11,clinic_011,1000,tier_2,32,GDPR,2,64,tier2_hospital,0.924,critical,5000
12,research_center_012,5000,tier_3,256,local,8,256,research_center,0.989,high,50000
13,mobile_unit_013,100,tier_1,4,PIPEDA,2,64,mobile_unit,0.853,high,5000
14,edge_device_014,500,tier_2,4,GDPR,0,32,edge_device,0.744,high,500
15,hospital_015,10000,tier_1,32,HIPAA,4,128,tier1_hospital,0.979,critical,50000
16,clinic_016,1000,tier_2,16,GDPR,4,64,tier2_hospital,0.922,critical,5000
17,research_center_017,5000,tier_3,256,HIPAA,32,512,research_center,0.987,critical,20000
18,mobile_unit_018,500,tier_1,16,GDPR,1,64,mobile_unit,0.837,standard,2000
19,edge_device_019,500,tier_2,2,local,0,32,edge_device,0.705,standard,2000
