node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,GDPR,4,128,tier1_hospital,0.971,critical,10000
1,clinic_001,2000,tier_2,32,PIPEDA,4,256,tier2_hospital,0.953,high,20000
2,research_center_002,10000,tier_3,64,HIPAA,16,256,research_center,0.995,standard,100000
3,mobile_unit_003,500,tier_1,4,GDPR,1,16,mobile_unit,0.868,standard,5000
4,edge_device_004,100,tier_2,4,GDPR,1,32,edge_device,0.791,critical,1000
5,hospital_005,5000,tier_1,64,local,8,256,tier1_hospital,0.956,standard,20000
6,clinic_006,5000,tier_2,16,PIPEDA,8,256,tier2_hospital,0.925,critical,20000
7,research_center_007,20000,tier_3,128,GDPR,16,1024,research_center,0.991,high,100000
8,mobile_unit_008,500,tier_1,16,PIPEDA,1,64,mobile_unit,0.889,high,2000
9,edge_device_009,500,tier_2,4,PIPEDA,1,16,edge_device,0.867,high,500
10,hospital_010,5000,tier_1,64,HIPAA,4,128,tier1_hospital,0.969,critical,10000
11,clinic_011,2000,tier_2,32,local,8,256,tier2_hospital,0.906,critical,5000
12,research_center_012,10000,tier_3,256,GDPR,32,512,research_center,0.993,standard,50000
13,mobile_unit_013,500,tier_1,4,HIPAA,1,64,mobile_unit,0.786,critical,2000
14,edge_device_014,100,tier_2,4,HIPAA,1,16,edge_device,0.861,critical,2000
