round_num,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19
1,3.3079073429107666,3.3012664318084717,3.2962467670440674,3.3156375885009766,3.302555561065674,3.2992072105407715,3.3094141483306885,3.3078067302703857,3.3142223358154297,3.2826247215270996,3.300102472305298,3.2992498874664307,3.2996156215667725,3.306227922439575,3.2915380001068115,3.2819020748138428,3.293820858001709,3.2772233486175537,3.311854124069214,3.2726097106933594
2,3.321875810623169,3.3174328804016113,3.322849750518799,3.344625473022461,3.3204073905944824,3.312267541885376,3.3368637561798096,3.3368961811065674,3.339601993560791,3.3200876712799072,3.3120627403259277,3.3275246620178223,3.3183393478393555,3.324941396713257,3.3147220611572266,3.329559803009033,3.334782123565674,3.328204393386841,3.333610773086548,3.309678316116333
3,3.341357946395874,3.350498676300049,3.3452088832855225,3.3526971340179443,3.34753680229187,3.33052134513855,3.3595163822174072,3.3508005142211914,3.355757474899292,3.3385279178619385,3.334519147872925,3.342383861541748,3.338731050491333,3.3472189903259277,3.3360705375671387,3.3413164615631104,3.3436059951782227,3.343121290206909,3.3565516471862793,3.3295540809631348
4,3.36503267288208,3.359577178955078,3.356924533843994,3.379000186920166,3.3560574054718018,3.349863290786743,3.375922203063965,3.3688409328460693,3.365187644958496,3.3517608642578125,3.356825113296509,3.3592369556427,3.3552777767181396,3.3633174896240234,3.354732036590576,3.374957323074341,3.3670246601104736,3.353475332260132,3.362489938735962,3.3481829166412354
5,3.376011610031128,3.367727041244507,3.369187355041504,3.3830490112304688,3.3760828971862793,3.3655669689178467,3.3820765018463135,3.381157636642456,3.381453275680542,3.3712093830108643,3.372138500213623,3.3807384967803955,3.3684728145599365,3.372382164001465,3.367003917694092,3.3633949756622314,3.376922130584717,3.372649669647217,3.382000207901001,3.3630731105804443
6,3.387529134750366,3.3817241191864014,3.386418342590332,3.395498037338257,3.3821966648101807,3.383645534515381,3.3889098167419434,3.3949573040008545,3.3980772495269775,3.380600690841675,3.382181167602539,3.3838844299316406,3.383000612258911,3.3867993354797363,3.380044460296631,3.377368211746216,3.391472101211548,3.3853957653045654,3.3931901454925537,3.3756961822509766
7,3.399888515472412,3.38989520072937,3.39567232131958,3.403747797012329,3.4033210277557373,3.393000602722168,3.4061243534088135,3.4049370288848877,3.413445472717285,3.3943238258361816,3.3949718475341797,3.3983731269836426,3.3918356895446777,3.4014220237731934,3.3900680541992188,3.3882625102996826,3.397136926651001,3.3921053409576416,3.4020209312438965,3.3886098861694336
8,3.406879425048828,3.40478777885437,3.4115800857543945,3.4087069034576416,3.4035041332244873,3.399508237838745,3.417156457901001,3.4161486625671387,3.418915271759033,3.4036898612976074,3.4042460918426514,3.4093806743621826,3.4020321369171143,3.4117395877838135,3.4019742012023926,3.3987231254577637,3.4062514305114746,3.4043445587158203,3.408057689666748,3.3995466232299805
9,3.4223387241363525,3.413039445877075,3.41703200340271,3.4234542846679688,3.415985584259033,3.4094972610473633,3.4212546348571777,3.4184329509735107,3.4267067909240723,3.4106242656707764,3.4149930477142334,3.4209983348846436,3.415393829345703,3.4177920818328857,3.411900758743286,3.4095518589019775,3.423992395401001,3.414534568786621,3.4179248809814453,3.4094505310058594
10,3.425457000732422,3.4215660095214844,3.425990343093872,3.437432050704956,3.4228477478027344,3.4209702014923096,3.4305481910705566,3.4340720176696777,3.437743902206421,3.4209415912628174,3.426238775253296,3.4257266521453857,3.4209487438201904,3.42826509475708,3.4206528663635254,3.418377637863159,3.430138111114502,3.4220364093780518,3.4302055835723877,3.418698787689209
