node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,HIPAA,8,512,tier1_hospital,0.96,high,20000
1,clinic_001,1000,tier_2,64,HIPAA,4,256,tier2_hospital,0.969,standard,20000
2,research_center_002,10000,tier_3,128,local,32,512,research_center,0.999,standard,50000
3,mobile_unit_003,500,tier_1,4,GDPR,1,64,mobile_unit,0.83,standard,2000
4,edge_device_004,500,tier_2,4,local,1,16,edge_device,0.899,standard,1000
5,hospital_005,2000,tier_1,64,local,8,512,tier1_hospital,0.975,high,20000
6,clinic_006,2000,tier_2,32,HIPAA,4,128,tier2_hospital,0.947,critical,20000
7,research_center_007,20000,tier_3,64,local,8,256,research_center,0.99,critical,20000
8,mobile_unit_008,500,tier_1,8,PIPEDA,2,64,mobile_unit,0.768,high,1000
9,edge_device_009,100,tier_2,2,HIPAA,1,8,edge_device,0.764,standard,1000
