node_id,latitude,longitude
0,44.071883,-92.502646
1,39.271326,-76.57322
2,37.448953,-122.149978
3,42.319176,-71.043007
4,34.077901,-118.221035
5,51.517057,-0.16091
6,48.84883,2.359355
7,35.723619,139.638749
8,1.313373,103.776595
9,-33.819884,151.216206
10,43.973814,-92.506222
11,39.302946,-76.578153
12,37.463547,-122.173634
13,42.329533,-71.024484
14,34.014766,-118.278271
15,51.488534,-0.151638
16,48.849641,2.323611
17,35.657586,139.674549
18,1.400285,103.857656
19,-33.866836,151.185598
