timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753361378.5153887,1,-1,training,17.84101176261902,0,0,0,
1753361384.1909509,2,-1,training,3.8021039962768555,0,0,0,
1753361389.7844105,3,-1,training,3.7895283699035645,0,0,0,
1753361395.3565788,4,-1,training,3.732046365737915,0,0,0,
1753361400.9497814,5,-1,training,3.789100408554077,0,0,0,
1753361406.7144027,6,-1,training,3.861659288406372,0,0,0,
1753361412.556609,7,-1,training,3.957756996154785,0,0,0,
1753361418.3406417,8,-1,training,3.9494359493255615,0,0,0,
1753361424.058476,9,-1,training,3.8476266860961914,0,0,0,
1753361429.8589678,10,-1,training,3.95147705078125,0,0,0,
