node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,HIPAA,4,128,tier1_hospital,0.989,critical,10000
1,clinic_001,5000,tier_2,64,HIPAA,8,128,tier2_hospital,0.975,standard,5000
2,research_center_002,5000,tier_3,128,local,8,1024,research_center,0.99,critical,20000
3,mobile_unit_003,100,tier_1,8,GDPR,1,32,mobile_unit,0.806,standard,5000
4,edge_device_004,50,tier_2,8,GDPR,0,32,edge_device,0.755,standard,500
5,hospital_005,2000,tier_1,64,GDPR,8,512,tier1_hospital,0.988,standard,50000
6,clinic_006,5000,tier_2,16,GDPR,4,128,tier2_hospital,0.972,high,5000
7,research_center_007,20000,tier_3,256,HIPAA,16,1024,research_center,0.988,critical,50000
8,mobile_unit_008,500,tier_1,8,PIPEDA,2,16,mobile_unit,0.894,critical,2000
9,edge_device_009,50,tier_2,8,PIPEDA,1,8,edge_device,0.708,high,500
