node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,PIPEDA,8,128,tier1_hospital,0.973,standard,20000
1,clinic_001,5000,tier_2,16,PIPEDA,2,128,tier2_hospital,0.936,critical,10000
2,research_center_002,10000,tier_3,128,GDPR,32,1024,research_center,0.989,critical,50000
3,mobile_unit_003,100,tier_1,16,local,1,64,mobile_unit,0.856,critical,1000
4,edge_device_004,500,tier_2,4,HIPAA,0,16,edge_device,0.8,critical,1000
5,hospital_005,10000,tier_1,64,GDPR,8,512,tier1_hospital,0.998,high,10000
6,clinic_006,2000,tier_2,16,PIPEDA,8,64,tier2_hospital,0.949,critical,5000
7,research_center_007,20000,tier_3,256,local,32,1024,research_center,0.985,critical,100000
8,mobile_unit_008,1000,tier_1,8,PIPEDA,1,64,mobile_unit,0.835,critical,1000
9,edge_device_009,100,tier_2,2,GDPR,1,16,edge_device,0.755,critical,500
10,hospital_010,2000,tier_1,32,local,4,512,tier1_hospital,0.989,high,50000
11,clinic_011,5000,tier_2,16,local,4,256,tier2_hospital,0.917,high,20000
12,research_center_012,10000,tier_3,128,HIPAA,8,256,research_center,0.983,high,50000
13,mobile_unit_013,100,tier_1,16,PIPEDA,2,16,mobile_unit,0.856,high,2000
14,edge_device_014,50,tier_2,4,PIPEDA,1,32,edge_device,0.821,high,500
