node_id,latitude,longitude
0,43.973637,-92.486629
1,39.287969,-76.568779
2,37.477673,-122.143958
3,42.35255,-71.012827
4,34.013931,-118.222861
5,51.47587,-0.146077
6,48.877978,2.337283
7,35.676743,139.636033
8,1.388765,103.779124
9,-33.894427,151.217838
10,44.015468,-92.419923
11,39.270877,-76.589144
12,37.44014,-122.151424
13,42.36509,-71.044749
14,34.030294,-118.222394
15,51.462126,-0.09317
16,48.890192,2.327355
17,35.636019,139.637103
18,1.31855,103.79886
19,-33.849462,151.255511
