round_num,node_0,node_1,node_2,node_3,node_4
1,3.3006105422973633,3.3006105422973633,3.3317534923553467,3.3006105422973633,3.3006105422973633
2,3.300610303878784,3.3012213706970215,3.3126707077026367,3.3002588748931885,3.3004209995269775
3,3.30025577545166,3.3575549125671387,3.301187038421631,3.300076961517334,3.300185203552246
4,3.307314872741699,3.315955877304077,3.318345069885254,3.300206422805786,3.301046371459961
5,3.3067564964294434,3.3100128173828125,3.3052375316619873,3.347476005554199,3.3023149967193604
6,3.3059091567993164,3.3069911003112793,3.3079397678375244,3.3102521896362305,3.3771109580993652
7,3.358269691467285,3.3080079555511475,3.3070311546325684,3.320711612701416,3.332289457321167
8,3.3190839290618896,3.309387683868408,3.3115694522857666,3.333824396133423,3.3223342895507812
9,3.3155176639556885,3.33376145362854,3.315462112426758,3.321577548980713,3.318688154220581
10,3.3184139728546143,3.3200061321258545,3.3344154357910156,3.3190298080444336,3.317967653274536
