node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,GDPR,4,128,tier1_hospital,0.96,critical,10000
1,clinic_001,1000,tier_2,32,HIPAA,8,128,tier2_hospital,0.962,standard,20000
2,research_center_002,5000,tier_3,64,PIPEDA,16,256,research_center,0.991,high,50000
3,mobile_unit_003,1000,tier_1,8,HIPAA,1,16,mobile_unit,0.756,high,5000
4,edge_device_004,50,tier_2,4,HIPAA,0,8,edge_device,0.814,standard,500
5,hospital_005,5000,tier_1,64,PIPEDA,4,512,tier1_hospital,0.97,critical,20000
6,clinic_006,2000,tier_2,16,local,2,64,tier2_hospital,0.917,high,5000
7,research_center_007,5000,tier_3,256,GDPR,8,1024,research_center,0.987,standard,50000
8,mobile_unit_008,1000,tier_1,8,local,2,64,mobile_unit,0.781,critical,5000
9,edge_device_009,100,tier_2,4,PIPEDA,0,16,edge_device,0.724,standard,2000
