timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753393028.0335512,1,10,"[7, 5, 9, 4, 6, 3]",6,0.6,0.6,"{7: 1.0, 5: 1.0, 9: 1.0, 4: 1.0, 6: 1.0, 3: 1.0}",,,
1753393053.9868197,2,10,"[3, 7, 9, 2, 8, 6]",6,0.6,0.6,"{3: 1.0, 7: 1.0, 9: 1.0, 2: 1.0, 8: 1.0, 6: 1.0}",,,
1753393079.629257,3,10,"[3, 5, 6, 7, 8, 4]",6,0.6,0.6,"{3: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 4: 1.0}",,,
1753393087.7072015,4,10,"[1, 2, 8, 5, 3, 0]",6,0.6,0.6,"{1: 1.0, 2: 1.0, 8: 1.0, 5: 1.0, 3: 1.0, 0: 1.0}",,,
1753393112.6045392,5,10,"[4, 0, 2, 6, 3, 5]",6,0.6,0.6,"{4: 1.0, 0: 1.0, 2: 1.0, 6: 1.0, 3: 1.0, 5: 1.0}",,,
1753393120.7943952,6,10,"[7, 3, 0, 2, 9, 5]",6,0.6,0.6,"{7: 1.0, 3: 1.0, 0: 1.0, 2: 1.0, 9: 1.0, 5: 1.0}",,,
1753393128.017299,7,10,"[4, 0, 6, 9, 2, 1]",6,0.6,0.6,"{4: 1.0, 0: 1.0, 6: 1.0, 9: 1.0, 2: 1.0, 1: 1.0}",,,
1753393135.7448785,8,10,"[5, 2, 3, 0, 4, 9]",6,0.6,0.6,"{5: 1.0, 2: 1.0, 3: 1.0, 0: 1.0, 4: 1.0, 9: 1.0}",,,
1753393143.8648348,9,10,"[8, 7, 9, 6, 3, 0]",6,0.6,0.6,"{8: 1.0, 7: 1.0, 9: 1.0, 6: 1.0, 3: 1.0, 0: 1.0}",,,
1753393151.9168282,10,10,"[1, 0, 5, 6, 3, 4]",6,0.6,0.6,"{1: 1.0, 0: 1.0, 5: 1.0, 6: 1.0, 3: 1.0, 4: 1.0}",,,
