node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,HIPAA,4,128,tier1_hospital,1.0,critical,50000
1,clinic_001,1000,tier_2,64,PIPEDA,2,128,tier2_hospital,0.962,high,10000
2,research_center_002,20000,tier_3,256,GDPR,8,256,research_center,0.984,high,50000
3,mobile_unit_003,100,tier_1,16,GDPR,1,16,mobile_unit,0.873,high,5000
4,edge_device_004,100,tier_2,2,GDPR,0,16,edge_device,0.777,high,500
5,hospital_005,5000,tier_1,32,PIPEDA,8,128,tier1_hospital,0.994,standard,10000
6,clinic_006,1000,tier_2,32,HIPAA,4,128,tier2_hospital,0.907,high,5000
7,research_center_007,10000,tier_3,64,local,32,1024,research_center,0.987,standard,100000
8,mobile_unit_008,1000,tier_1,4,HIPAA,2,16,mobile_unit,0.752,critical,1000
9,edge_device_009,100,tier_2,4,local,1,16,edge_device,0.859,standard,1000
