node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.018462,-92.508335,north_america,America/Chicago
1,Baltimore,USA,39.273778,-76.634065,europe,America/New_York
2,Palo Alto,USA,37.41355,-122.115038,asia_pacific,America/Los_Angeles
3,Boston,USA,42.396859,-71.050523,south_america,America/New_York
4,Los Angeles,USA,34.053398,-118.219416,africa,America/Los_Angeles
5,London,UK,51.518071,-0.126073,north_america,Europe/London
6,Paris,France,48.866343,2.311188,europe,Europe/Paris
7,Tokyo,Japan,35.639303,139.647327,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.334177,103.853226,south_america,Asia/Singapore
9,Sydney,Australia,-33.879756,151.161936,africa,Australia/Sydney
