edge,weight
0-1,87.48
0-2,2024.72
0-3,543.65
0-4,4621.27
0-5,4715.23
0-6,477.76
0-7,914.3
0-8,890.66
0-9,1936.9
0-10,1101.11
0-11,89.22
0-12,5426.59
0-13,2038.46
0-14,87.7
1-2,109.27
1-3,82.7
1-4,594.38
1-5,4856.25
1-6,2240.76
1-7,92.98
1-8,4521.62
1-9,94.01
1-10,1028.77
1-11,4442.85
1-12,107.0
1-13,2223.55
1-14,1072.62
2-3,5353.14
2-4,1676.6
2-5,114.66
2-6,929.74
2-7,5433.87
2-8,5681.2
2-9,892.49
2-10,1837.32
2-11,1091.06
2-12,1086.85
2-13,4455.46
2-14,537.68
3-4,80.94
3-5,430.9
3-6,4063.08
3-7,428.95
3-8,494.04
3-9,537.52
3-10,84.89
3-11,926.69
3-12,107.83
3-13,4367.8
3-14,566.03
4-5,1149.5
4-6,865.89
4-7,5343.41
4-8,86.43
4-9,1081.84
4-10,531.71
4-11,1185.97
4-12,4212.51
4-13,93.59
4-14,89.23
5-6,426.95
5-7,110.24
5-8,2174.61
5-9,994.28
5-10,4246.96
5-11,1192.76
5-12,1122.91
5-13,5416.52
5-14,2310.01
6-7,109.59
6-8,5420.81
6-9,5180.97
6-10,5669.65
6-11,1930.84
6-12,1032.95
6-13,96.06
6-14,4888.55
7-8,865.05
7-9,4953.1
7-10,88.94
7-11,983.32
7-12,95.51
7-13,1027.04
7-14,2196.51
8-9,1105.24
8-10,2386.66
8-11,117.05
8-12,517.08
8-13,989.4
8-14,4563.52
9-10,1873.25
9-11,5746.19
9-12,446.85
9-13,4189.57
9-14,85.11
10-11,5701.5
10-12,110.14
10-13,1928.88
10-14,2115.36
11-12,1813.86
11-13,101.75
11-14,2194.48
12-13,5769.36
12-14,583.95
13-14,2289.98
