node_id,latitude,longitude
0,43.972909,-92.454686
1,39.326798,-76.635034
2,37.409548,-122.106067
3,42.363809,-71.016086
4,34.03896,-118.219499
5,51.474443,-0.139847
6,48.898788,2.376542
7,35.689654,139.657104
8,1.333383,103.816489
9,-33.821321,151.256083
10,44.027778,-92.5153
11,39.332245,-76.603181
12,37.4023,-122.146862
13,42.343736,-71.04255
14,34.043502,-118.193887
15,51.493099,-0.10322
16,48.844791,2.354015
17,35.71462,139.676683
18,1.304707,103.782151
19,-33.825989,151.197439
