edge,weight
0-1,5459.56
0-2,2325.72
0-3,822.83
0-4,5770.74
0-5,4969.61
0-6,1015.47
0-7,1889.7
0-8,553.77
0-9,5088.84
1-2,84.6
1-3,450.48
1-4,1815.37
1-5,2062.97
1-6,5932.86
1-7,461.23
1-8,5909.31
1-9,86.45
2-3,84.27
2-4,2113.23
2-5,90.88
2-6,5587.96
2-7,1092.85
2-8,451.6
2-9,5720.02
3-4,4293.08
3-5,555.6
3-6,87.15
3-7,509.04
3-8,850.98
3-9,1767.44
4-5,2067.86
4-6,111.86
4-7,534.17
4-8,537.37
4-9,91.94
5-6,505.48
5-7,1117.83
5-8,4742.49
5-9,110.2
6-7,1684.74
6-8,5136.72
6-9,1853.77
7-8,5915.3
7-9,1019.56
8-9,104.56
