node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,HIPAA_compliant,radiology,1959,research_grant,mayo_clinic,tier1_hospital,1342
1,local,SOC2,oncology,1971,public,johns_hopkins,tier2_hospital,3713
2,regional,HIPAA_compliant,cardiology,1952,research_grant,stanford_med,research_center,4305
3,local,HIPAA_compliant,neurology,2014,mixed,mass_general,mobile_unit,914
4,regional,FedRAMP,pathology,1957,private,ucla_health,edge_device,1238
5,national,ISO27001,radiology,2000,mixed,mayo_clinic,tier1_hospital,2566
6,international,HIPAA_compliant,oncology,1992,research_grant,johns_hopkins,tier2_hospital,2968
7,local,FedRAMP,cardiology,2018,private,stanford_med,research_center,2422
8,international,HIPAA_compliant,neurology,1958,public,mass_general,mobile_unit,1297
9,international,ISO27001,pathology,1950,private,ucla_health,edge_device,4249
