edge,weight
0-1,4309.72
0-2,83.3
0-3,110.4
0-4,106.31
0-5,500.99
0-6,5288.9
0-7,4957.48
0-8,2349.42
0-9,563.34
1-2,81.36
1-3,1683.87
1-4,87.17
1-5,4680.99
1-6,2226.71
1-7,1146.92
1-8,965.91
1-9,2172.33
2-3,5803.12
2-4,89.08
2-5,427.14
2-6,5704.79
2-7,4569.25
2-8,86.64
2-9,80.58
3-4,879.39
3-5,4349.73
3-6,109.62
3-7,504.66
3-8,544.12
3-9,4343.85
4-5,487.61
4-6,836.76
4-7,94.04
4-8,85.88
4-9,4281.8
5-6,2368.58
5-7,118.11
5-8,4774.82
5-9,5386.69
6-7,448.42
6-8,119.82
6-9,1770.13
7-8,1045.71
7-9,1854.65
8-9,822.82
