edge,weight
0-1,4153.92
0-2,528.8
0-3,492.77
0-4,475.85
0-5,403.6
0-6,1753.48
0-7,901.71
0-8,4870.47
0-9,4086.08
0-10,4709.51
0-11,99.72
0-12,1862.32
0-13,1052.69
0-14,883.45
1-2,1038.86
1-3,4895.34
1-4,1779.27
1-5,98.88
1-6,471.97
1-7,84.66
1-8,85.8
1-9,5034.72
1-10,1738.07
1-11,415.92
1-12,109.91
1-13,1000.08
1-14,1084.59
2-3,1018.4
2-4,584.05
2-5,1708.53
2-6,85.57
2-7,92.51
2-8,90.07
2-9,1076.27
2-10,528.3
2-11,1069.55
2-12,4401.1
2-13,520.45
2-14,1878.35
3-4,1091.19
3-5,452.87
3-6,4766.81
3-7,91.68
3-8,509.42
3-9,968.27
3-10,86.49
3-11,1010.27
3-12,91.73
3-13,847.96
3-14,934.01
4-5,2276.87
4-6,108.47
4-7,1742.12
4-8,579.25
4-9,90.98
4-10,83.34
4-11,810.36
4-12,4744.3
4-13,4132.52
4-14,4879.31
5-6,1045.62
5-7,1854.25
5-8,4663.57
5-9,86.96
5-10,1809.07
5-11,4609.68
5-12,1921.38
5-13,1999.56
5-14,843.91
6-7,872.13
6-8,409.51
6-9,5991.32
6-10,4201.76
6-11,4796.01
6-12,1771.06
6-13,1179.15
6-14,496.13
7-8,1017.33
7-9,2213.07
7-10,451.12
7-11,494.8
7-12,2130.6
7-13,4279.49
7-14,111.06
8-9,115.3
8-10,93.65
8-11,97.78
8-12,850.56
8-13,1881.67
8-14,837.82
9-10,2199.48
9-11,4821.54
9-12,440.36
9-13,1702.86
9-14,1040.63
10-11,1783.92
10-12,99.39
10-13,82.88
10-14,895.35
11-12,554.47
11-13,570.46
11-14,1759.29
12-13,85.35
12-14,105.74
13-14,1042.87
