node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,national,ISO27001,radiology,2019,public,mayo_clinic,tier1_hospital,3365
1,regional,HIPAA_compliant,oncology,1956,public,johns_hopkins,tier2_hospital,1084
2,local,FedRAMP,cardiology,1959,research_grant,stanford_med,research_center,3906
3,international,SOC2,neurology,1992,research_grant,mass_general,mobile_unit,1793
4,local,ISO27001,pathology,2014,private,ucla_health,edge_device,2724
5,regional,ISO27001,radiology,2011,public,mayo_clinic,tier1_hospital,4743
6,national,SOC2,oncology,2001,research_grant,johns_hopkins,tier2_hospital,737
7,international,ISO27001,cardiology,1979,public,stanford_med,research_center,1386
8,national,SOC2,neurology,1967,private,mass_general,mobile_unit,4883
9,local,FedRAMP,pathology,2000,public,ucla_health,edge_device,235
10,international,HIPAA_compliant,radiology,2008,public,mayo_clinic,tier1_hospital,4069
11,local,ISO27001,oncology,1968,research_grant,johns_hopkins,tier2_hospital,2317
12,international,ISO27001,cardiology,1993,public,stanford_med,research_center,1789
13,national,HIPAA_compliant,neurology,2006,public,mass_general,mobile_unit,1244
14,national,SOC2,pathology,2018,mixed,ucla_health,edge_device,1324
