edge,weight
0-1,104.41
0-2,498.93
0-3,1738.22
0-4,84.51
0-5,103.56
0-6,2114.24
0-7,93.77
0-8,2335.23
0-9,591.74
1-2,2098.57
1-3,119.84
1-4,5951.85
1-5,824.09
1-6,2392.31
1-7,534.11
1-8,1054.16
1-9,4560.74
2-3,2305.07
2-4,2214.69
2-5,87.15
2-6,4611.26
2-7,807.84
2-8,4605.39
2-9,964.46
3-4,2183.33
3-5,451.64
3-6,80.93
3-7,1703.19
3-8,5712.59
3-9,548.13
4-5,2079.1
4-6,4520.69
4-7,90.21
4-8,1838.88
4-9,2099.89
5-6,585.23
5-7,5570.48
5-8,417.83
5-9,1805.84
6-7,117.6
6-8,4106.12
6-9,1116.14
7-8,1859.69
7-9,90.03
8-9,1096.96
