node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,GDPR,4,256,tier1_hospital,0.992,critical,50000
1,clinic_001,5000,tier_2,16,PIPEDA,2,64,tier2_hospital,0.923,critical,5000
2,research_center_002,20000,tier_3,64,local,16,512,research_center,0.999,critical,100000
3,mobile_unit_003,500,tier_1,8,local,1,64,mobile_unit,0.771,critical,1000
4,edge_device_004,500,tier_2,2,local,0,8,edge_device,0.818,standard,1000
5,hospital_005,10000,tier_1,128,GDPR,4,512,tier1_hospital,0.96,high,10000
6,clinic_006,2000,tier_2,32,local,2,256,tier2_hospital,0.978,critical,20000
7,research_center_007,20000,tier_3,256,HIPAA,16,1024,research_center,0.988,standard,20000
8,mobile_unit_008,500,tier_1,8,HIPAA,1,16,mobile_unit,0.772,standard,2000
9,edge_device_009,500,tier_2,8,GDPR,1,8,edge_device,0.758,high,500
