node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,regional,FedRAMP,Rochester,USA,radiology,1983,public,mayo_clinic,tier1_hospital,north_america,241,America/Chicago
1,regional,SOC2,Baltimore,USA,oncology,2012,mixed,johns_hopkins,tier2_hospital,europe,2937,America/New_York
2,national,FedRAMP,Palo Alto,USA,cardiology,1992,public,stanford_med,research_center,asia_pacific,1663,America/Los_Angeles
3,regional,HIPAA_compliant,Boston,USA,neurology,1950,mixed,mass_general,mobile_unit,south_america,4941,America/New_York
4,international,SOC2,Los Angeles,USA,pathology,1993,mixed,ucla_health,edge_device,africa,1826,America/Los_Angeles
5,regional,SOC2,London,UK,radiology,1951,research_grant,mayo_clinic,tier1_hospital,north_america,1758,Europe/London
6,national,ISO27001,Paris,France,oncology,2011,public,johns_hopkins,tier2_hospital,europe,2455,Europe/Paris
7,international,HIPAA_compliant,Tokyo,Japan,cardiology,1954,research_grant,stanford_med,research_center,asia_pacific,601,Asia/Tokyo
8,national,FedRAMP,Singapore,Singapore,neurology,2019,research_grant,mass_general,mobile_unit,south_america,1470,Asia/Singapore
9,local,ISO27001,Sydney,Australia,pathology,1950,mixed,ucla_health,edge_device,africa,2790,Australia/Sydney
