node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,HIPAA,16,128,tier1_hospital,0.967,high,10000
1,clinic_001,5000,tier_2,16,local,8,256,tier2_hospital,0.978,standard,10000
2,research_center_002,20000,tier_3,256,local,32,1024,research_center,0.989,high,20000
3,mobile_unit_003,100,tier_1,16,PIPEDA,1,16,mobile_unit,0.818,standard,5000
4,edge_device_004,100,tier_2,4,local,1,8,edge_device,0.819,standard,2000
5,hospital_005,2000,tier_1,128,PIPEDA,4,128,tier1_hospital,0.953,standard,10000
6,clinic_006,2000,tier_2,64,GDPR,2,64,tier2_hospital,0.962,critical,10000
7,research_center_007,20000,tier_3,256,local,16,256,research_center,0.995,standard,20000
8,mobile_unit_008,100,tier_1,8,GDPR,1,64,mobile_unit,0.831,high,1000
9,edge_device_009,50,tier_2,2,local,1,8,edge_device,0.836,standard,1000
10,hospital_010,2000,tier_1,32,PIPEDA,16,256,tier1_hospital,0.985,critical,10000
11,clinic_011,2000,tier_2,64,GDPR,8,128,tier2_hospital,0.914,high,5000
12,research_center_012,10000,tier_3,64,GDPR,16,1024,research_center,0.984,standard,20000
13,mobile_unit_013,1000,tier_1,8,local,2,16,mobile_unit,0.783,high,1000
14,edge_device_014,50,tier_2,4,PIPEDA,1,16,edge_device,0.726,high,500
15,hospital_015,10000,tier_1,64,PIPEDA,16,128,tier1_hospital,0.964,standard,50000
16,clinic_016,2000,tier_2,32,HIPAA,2,256,tier2_hospital,0.965,standard,10000
17,research_center_017,5000,tier_3,256,GDPR,32,512,research_center,0.994,critical,100000
18,mobile_unit_018,1000,tier_1,4,GDPR,1,16,mobile_unit,0.859,standard,1000
19,edge_device_019,500,tier_2,2,GDPR,0,32,edge_device,0.898,high,1000
