edge,weight
0-1,4000.45
0-2,83.52
0-3,4426.74
0-4,468.87
0-5,116.4
0-6,560.49
0-7,106.71
0-8,1197.53
0-9,1924.56
0-10,5921.7
0-11,449.45
0-12,436.24
0-13,1156.12
0-14,874.56
1-2,5496.47
1-3,561.39
1-4,4714.22
1-5,1168.41
1-6,474.97
1-7,470.31
1-8,2106.46
1-9,415.27
1-10,1968.98
1-11,96.76
1-12,5659.2
1-13,1103.48
1-14,85.0
2-3,2340.05
2-4,5537.83
2-5,4665.64
2-6,91.13
2-7,108.76
2-8,4834.85
2-9,851.16
2-10,926.38
2-11,2340.98
2-12,1968.99
2-13,5243.93
2-14,4189.46
3-4,4468.73
3-5,4035.24
3-6,434.48
3-7,2167.93
3-8,4597.83
3-9,4319.59
3-10,96.03
3-11,518.8
3-12,5942.65
3-13,499.78
3-14,4472.52
4-5,118.07
4-6,465.05
4-7,1039.45
4-8,99.21
4-9,100.63
4-10,2279.33
4-11,5717.61
4-12,4243.8
4-13,5202.15
4-14,535.12
5-6,972.13
5-7,1114.3
5-8,1181.66
5-9,1048.62
5-10,87.18
5-11,446.66
5-12,811.03
5-13,523.03
5-14,453.34
6-7,1011.34
6-8,4835.2
6-9,1755.55
6-10,964.65
6-11,446.43
6-12,1058.14
6-13,1708.8
6-14,477.96
7-8,5189.15
7-9,1112.24
7-10,531.84
7-11,4992.88
7-12,4714.99
7-13,599.32
7-14,532.76
8-9,1066.95
8-10,545.4
8-11,4683.95
8-12,118.29
8-13,116.31
8-14,854.63
9-10,467.41
9-11,109.57
9-12,528.33
9-13,919.06
9-14,585.08
10-11,2299.36
10-12,470.53
10-13,2286.92
10-14,5335.9
11-12,85.39
11-13,836.36
11-14,108.76
12-13,2258.83
12-14,1751.71
13-14,108.28
