node_id,latitude,longitude
0,44.043487,-92.455129
1,39.314619,-76.630027
2,37.446854,-122.178541
3,42.344371,-71.024183
4,34.033166,-118.262085
5,51.52631,-0.124284
6,48.826172,2.304607
7,35.700858,139.64196
8,1.303422,103.785295
9,-33.829315,151.195901
10,44.047568,-92.452243
11,39.336817,-76.642027
12,37.442966,-122.142971
13,42.31198,-71.041765
14,34.041274,-118.267553
15,51.540569,-0.143815
16,48.862099,2.391853
17,35.692351,139.648641
18,1.354255,103.770466
19,-33.893672,151.251009
