edge,weight
0-1,452.2
0-2,2207.44
0-3,5567.99
0-4,99.36
0-5,110.02
0-6,434.75
0-7,5721.08
0-8,109.02
0-9,101.11
0-10,2204.92
0-11,825.45
0-12,2075.98
0-13,2165.23
0-14,5492.21
1-2,981.56
1-3,551.0
1-4,948.42
1-5,502.43
1-6,594.26
1-7,110.54
1-8,498.47
1-9,504.58
1-10,4137.26
1-11,113.11
1-12,1058.29
1-13,2079.51
1-14,102.2
2-3,89.85
2-4,4513.6
2-5,473.66
2-6,555.15
2-7,5702.79
2-8,421.2
2-9,1032.48
2-10,1169.26
2-11,116.46
2-12,5649.88
2-13,541.97
2-14,4672.78
3-4,559.26
3-5,4190.94
3-6,470.54
3-7,2340.41
3-8,4638.66
3-9,82.41
3-10,1130.5
3-11,5407.62
3-12,5807.95
3-13,4839.72
3-14,119.29
4-5,1160.69
4-6,839.23
4-7,4029.55
4-8,2368.63
4-9,1773.46
4-10,1943.64
4-11,5807.59
4-12,592.44
4-13,2186.95
4-14,4662.76
5-6,4171.49
5-7,93.15
5-8,4237.83
5-9,107.16
5-10,4219.47
5-11,573.66
5-12,1795.1
5-13,4284.66
5-14,409.84
6-7,1197.04
6-8,2209.49
6-9,5605.46
6-10,2278.7
6-11,822.55
6-12,2354.5
6-13,1016.94
6-14,112.32
7-8,103.39
7-9,1158.04
7-10,101.17
7-11,5961.74
7-12,485.19
7-13,4528.73
7-14,5431.54
8-9,434.23
8-10,1687.0
8-11,403.06
8-12,441.26
8-13,1948.72
8-14,85.0
9-10,523.01
9-11,1832.0
9-12,105.93
9-13,1004.06
9-14,864.23
10-11,421.15
10-12,2028.55
10-13,2357.41
10-14,2295.23
11-12,547.91
11-13,98.7
11-14,5032.32
12-13,117.24
12-14,2204.51
13-14,1140.8
