node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,HIPAA,4,256,tier1_hospital,0.986,standard,10000
1,clinic_001,2000,tier_2,16,PIPEDA,4,256,tier2_hospital,0.928,standard,10000
2,research_center_002,20000,tier_3,128,GDPR,32,1024,research_center,0.982,standard,100000
3,mobile_unit_003,500,tier_1,4,local,2,64,mobile_unit,0.791,high,5000
4,edge_device_004,500,tier_2,2,GDPR,0,32,edge_device,0.87,critical,500
5,hospital_005,10000,tier_1,64,local,4,256,tier1_hospital,0.993,critical,50000
6,clinic_006,1000,tier_2,16,HIPAA,8,256,tier2_hospital,0.974,critical,10000
7,research_center_007,10000,tier_3,128,HIPAA,16,256,research_center,0.99,standard,100000
8,mobile_unit_008,500,tier_1,16,PIPEDA,1,64,mobile_unit,0.798,critical,5000
9,edge_device_009,100,tier_2,8,GDPR,0,8,edge_device,0.719,standard,500
