round_num,node_0,node_1,node_2,node_3,node_4
1,3.4119937419891357,3.3392817974090576,3.3553383350372314,3.3392817974090576,3.3787643909454346
2,3.3979575634002686,3.40146541595459,3.34627366065979,3.34627366065979,3.3378512859344482
3,3.3577539920806885,3.3856379985809326,3.3620352745056152,3.3577539920806885,3.3773622512817383
4,3.377277374267578,3.357607126235962,3.361341953277588,3.361341953277588,3.3990249633789062
5,3.4190876483917236,3.370706558227539,3.3946051597595215,3.3629956245422363,3.3629956245422363
6,3.365659713745117,3.3767001628875732,3.37833309173584,3.437039375305176,3.3767001628875732
7,3.3774356842041016,3.37329363822937,3.392566204071045,3.3748629093170166,3.3748629093170166
8,3.3700108528137207,3.3869469165802,3.370086431503296,3.3700108528137207,3.3780782222747803
9,3.417638063430786,3.369122266769409,3.352358102798462,3.369122266769409,3.3969528675079346
10,3.372015953063965,3.4085984230041504,3.3783886432647705,3.3783886432647705,3.3689942359924316
