node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,local,FedRAMP,Rochester,USA,radiology,2008,public,mayo_clinic,tier1_hospital,north_america,2960,America/Chicago
1,national,HIPAA_compliant,Baltimore,USA,oncology,1980,research_grant,johns_hopkins,tier2_hospital,europe,3169,America/New_York
2,national,HIPAA_compliant,Palo Alto,USA,cardiology,1978,mixed,stanford_med,research_center,asia_pacific,3212,America/Los_Angeles
3,regional,FedRAMP,Boston,USA,neurology,2010,research_grant,mass_general,mobile_unit,south_america,3207,America/New_York
4,international,FedRAMP,Los Angeles,USA,pathology,2015,mixed,ucla_health,edge_device,africa,756,America/Los_Angeles
5,regional,FedRAMP,London,UK,radiology,1963,public,mayo_clinic,tier1_hospital,north_america,4406,Europe/London
6,local,HIPAA_compliant,Paris,France,oncology,1985,public,johns_hopkins,tier2_hospital,europe,4484,Europe/Paris
7,regional,HIPAA_compliant,Tokyo,Japan,cardiology,1959,public,stanford_med,research_center,asia_pacific,903,Asia/Tokyo
8,regional,HIPAA_compliant,Singapore,Singapore,neurology,1971,public,mass_general,mobile_unit,south_america,3675,Asia/Singapore
9,regional,FedRAMP,Sydney,Australia,pathology,1977,research_grant,ucla_health,edge_device,africa,1209,Australia/Sydney
