round_num,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9
1,3.375593662261963,3.28399920463562,3.314530611038208,3.4108505249023438,3.28399920463562,3.28399920463562,3.28399920463562,3.301893472671509,3.4074668884277344,3.349276065826416
2,3.3222227096557617,3.2847204208374023,3.3453726768493652,3.3431386947631836,3.3897173404693604,3.285632848739624,3.377187490463257,3.3319807052612305,3.3518965244293213,3.312307596206665
3,3.293182373046875,3.3810572624206543,3.339454412460327,3.3564813137054443,3.3439950942993164,3.2993998527526855,3.3122270107269287,3.341625928878784,3.3850257396698,3.3087282180786133
4,3.3480465412139893,3.363553285598755,3.317945718765259,3.375591516494751,3.311478614807129,3.3345298767089844,3.304344415664673,3.3439295291900635,3.4119417667388916,3.317986488342285
5,3.330759286880493,3.3637545108795166,3.329897165298462,3.3818893432617188,3.3274765014648438,3.3413662910461426,3.2929487228393555,3.37310528755188,3.3735060691833496,3.333561658859253
6,3.3320024013519287,3.3650729656219482,3.331446409225464,3.3626205921173096,3.363508462905884,3.3068742752075195,3.301342487335205,3.381405830383301,3.4018361568450928,3.3476784229278564
7,3.3350026607513428,3.339918613433838,3.320134162902832,3.338927984237671,3.343945264816284,3.343156576156616,3.3514039516448975,3.368504047393799,3.3714444637298584,3.3713715076446533
8,3.335876703262329,3.3452303409576416,3.338017702102661,3.3605117797851562,3.3615334033966064,3.324164390563965,3.3715429306030273,3.343167781829834,3.391062021255493,3.3418147563934326
9,3.3729288578033447,3.339592933654785,3.3432681560516357,3.338419198989868,3.329871416091919,3.3587400913238525,3.3918325901031494,3.346247911453247,3.36614990234375,3.367111921310425
10,3.359041690826416,3.341262102127075,3.314995050430298,3.3289830684661865,3.3837811946868896,3.368321657180786,3.364605665206909,3.3745014667510986,3.3572885990142822,3.339386463165283
