node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.004624,-92.483499,north_america,America/Chicago
1,Baltimore,USA,39.335244,-76.615698,europe,America/New_York
2,Palo Alto,USA,37.422398,-122.16758,asia_pacific,America/Los_Angeles
3,Boston,USA,42.315574,-71.036535,south_america,America/New_York
4,Los Angeles,USA,34.03499,-118.266342,africa,America/Los_Angeles
5,London,UK,51.490083,-0.08012,north_america,Europe/London
6,Paris,France,48.867714,2.316878,europe,Europe/Paris
7,Tokyo,Japan,35.645348,139.646723,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.348656,103.861665,south_america,Asia/Singapore
9,Sydney,Australia,-33.835607,151.189809,africa,Australia/Sydney
