edge,weight
0-1,1755.94
0-2,412.94
0-3,2124.07
0-4,119.74
0-5,958.3
0-6,2386.88
0-7,998.58
0-8,425.5
0-9,2051.98
1-2,4509.12
1-3,1785.39
1-4,1922.38
1-5,5573.55
1-6,4563.7
1-7,1606.8
1-8,876.76
1-9,105.09
2-3,924.97
2-4,4822.32
2-5,5713.92
2-6,2398.17
2-7,472.59
2-8,1141.14
2-9,1073.02
3-4,4328.11
3-5,4460.14
3-6,587.05
3-7,1639.24
3-8,1709.75
3-9,558.27
4-5,827.63
4-6,104.52
4-7,92.98
4-8,90.04
4-9,93.86
5-6,1176.49
5-7,407.1
5-8,2041.23
5-9,5927.97
6-7,951.99
6-8,4064.63
6-9,485.48
7-8,89.8
7-9,910.88
8-9,1934.63
