timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753359340.656194,1,20,"[14, 6, 1, 4]",4,0.2,0.2,"{14: 1.0, 6: 1.0, 1: 1.0, 4: 1.0}",,,
1753359354.7499845,2,20,"[2, 6, 14, 1]",4,0.2,0.2,"{2: 1.0, 6: 1.0, 14: 1.0, 1: 1.0}",,,
1753359364.3268845,3,20,"[0, 6, 12, 2]",4,0.2,0.2,"{0: 1.0, 6: 1.0, 12: 1.0, 2: 1.0}",,,
1753359376.8579376,4,20,"[19, 17, 12, 2]",4,0.2,0.2,"{19: 1.0, 17: 1.0, 12: 1.0, 2: 1.0}",,,
1753359387.3661847,5,20,"[16, 6, 18, 10]",4,0.2,0.2,"{16: 1.0, 6: 1.0, 18: 1.0, 10: 1.0}",,,
1753359400.5561574,6,20,"[3, 14, 8, 0]",4,0.2,0.2,"{3: 1.0, 14: 1.0, 8: 1.0, 0: 1.0}",,,
1753359412.8760026,7,20,"[19, 4, 18, 17]",4,0.2,0.2,"{19: 1.0, 4: 1.0, 18: 1.0, 17: 1.0}",,,
1753359416.376295,8,20,"[2, 5, 19, 14]",4,0.2,0.2,"{2: 1.0, 5: 1.0, 19: 1.0, 14: 1.0}",,,
1753359427.6366043,9,20,"[9, 18, 16, 3]",4,0.2,0.2,"{9: 1.0, 18: 1.0, 16: 1.0, 3: 1.0}",,,
1753359437.8697088,10,20,"[9, 19, 14, 1]",4,0.2,0.2,"{9: 1.0, 19: 1.0, 14: 1.0, 1: 1.0}",,,
