node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,local,16,512,tier1_hospital,0.997,standard,10000
1,clinic_001,2000,tier_2,32,HIPAA,4,256,tier2_hospital,0.915,high,20000
2,research_center_002,20000,tier_3,128,GDPR,8,1024,research_center,1.0,standard,100000
3,mobile_unit_003,1000,tier_1,8,local,1,32,mobile_unit,0.779,high,2000
4,edge_device_004,100,tier_2,2,GDPR,1,8,edge_device,0.837,critical,2000
5,hospital_005,10000,tier_1,32,GDPR,4,512,tier1_hospital,0.956,high,20000
6,clinic_006,2000,tier_2,16,HIPAA,2,256,tier2_hospital,0.977,standard,10000
7,research_center_007,5000,tier_3,256,HIPAA,8,1024,research_center,0.995,critical,20000
8,mobile_unit_008,500,tier_1,8,GDPR,2,32,mobile_unit,0.889,critical,2000
9,edge_device_009,50,tier_2,4,local,0,16,edge_device,0.843,standard,500
10,hospital_010,5000,tier_1,64,HIPAA,8,512,tier1_hospital,0.989,high,20000
11,clinic_011,2000,tier_2,64,PIPEDA,2,128,tier2_hospital,0.941,critical,10000
12,research_center_012,5000,tier_3,64,PIPEDA,8,256,research_center,0.987,high,20000
13,mobile_unit_013,100,tier_1,8,GDPR,2,32,mobile_unit,0.871,high,5000
14,edge_device_014,100,tier_2,8,PIPEDA,1,16,edge_device,0.734,standard,500
15,hospital_015,5000,tier_1,64,HIPAA,16,512,tier1_hospital,0.987,high,20000
16,clinic_016,5000,tier_2,32,local,8,128,tier2_hospital,0.907,critical,5000
17,research_center_017,5000,tier_3,64,HIPAA,32,256,research_center,0.986,standard,100000
18,mobile_unit_018,500,tier_1,4,GDPR,1,16,mobile_unit,0.813,high,1000
19,edge_device_019,50,tier_2,4,local,0,32,edge_device,0.714,standard,500
