edge,weight
0-1,2159.89
0-2,5458.44
0-3,1184.55
0-4,113.05
0-5,4097.04
0-6,406.12
0-7,106.03
0-8,426.11
0-9,4851.97
1-2,4171.62
1-3,113.82
1-4,1196.99
1-5,1903.17
1-6,426.43
1-7,1143.91
1-8,5377.03
1-9,2013.89
2-3,992.9
2-4,4272.2
2-5,5798.06
2-6,1608.78
2-7,1191.02
2-8,87.31
2-9,5020.01
3-4,5952.76
3-5,117.38
3-6,5837.84
3-7,582.57
3-8,82.13
3-9,109.16
4-5,567.68
4-6,513.27
4-7,554.08
4-8,2032.4
4-9,982.07
5-6,560.22
5-7,454.53
5-8,416.87
5-9,1720.87
6-7,1866.94
6-8,1697.87
6-9,422.33
7-8,107.91
7-9,457.88
8-9,2325.05
