edge,weight
0-1,4118.75
0-2,106.9
0-3,1089.73
0-4,115.57
0-5,2151.86
0-6,4719.94
0-7,5328.77
0-8,592.01
0-9,82.26
1-2,860.51
1-3,95.25
1-4,958.11
1-5,506.04
1-6,4922.44
1-7,93.51
1-8,818.39
1-9,1055.52
2-3,1607.13
2-4,4720.39
2-5,828.31
2-6,413.83
2-7,2384.41
2-8,550.5
2-9,5469.96
3-4,1793.02
3-5,5273.99
3-6,111.8
3-7,582.24
3-8,2015.71
3-9,968.17
4-5,5722.51
4-6,101.19
4-7,1788.59
4-8,2030.35
4-9,5941.55
5-6,1044.94
5-7,119.2
5-8,846.57
5-9,1718.85
6-7,842.34
6-8,914.84
6-9,5283.87
7-8,505.89
7-9,488.06
8-9,1121.43
