node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,local,8,128,tier1_hospital,0.985,high,10000
1,clinic_001,1000,tier_2,32,HIPAA,8,64,tier2_hospital,0.957,standard,10000
2,research_center_002,20000,tier_3,256,local,32,512,research_center,0.985,critical,50000
3,mobile_unit_003,1000,tier_1,16,PIPEDA,1,64,mobile_unit,0.853,standard,1000
4,edge_device_004,500,tier_2,8,GDPR,1,8,edge_device,0.865,high,2000
5,hospital_005,10000,tier_1,128,PIPEDA,4,512,tier1_hospital,0.993,critical,20000
6,clinic_006,1000,tier_2,16,PIPEDA,2,128,tier2_hospital,0.955,critical,20000
7,research_center_007,20000,tier_3,64,local,8,256,research_center,0.994,standard,50000
8,mobile_unit_008,100,tier_1,16,local,1,16,mobile_unit,0.829,high,5000
9,edge_device_009,50,tier_2,8,GDPR,0,16,edge_device,0.764,standard,2000
